Provider,BankType,Product,GeneralRate%,SeniorRate%,TenureYears,Source,SourceURL,RateDate,DataConfidence,ActiveStatus,Notes
Indian Bank,Public Sector Bank,3 Years,6.05,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Indian Bank,Public Sector Bank,5 Years,6.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Indian Overseas Bank,Public Sector Bank,Highest published slab,6.6,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Indian Overseas Bank,Public Sector Bank,1 Year,6.5,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Indian Overseas Bank,Public Sector Bank,3 Years,6.1,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Indian Overseas Bank,Public Sector Bank,5 Years,6.1,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab & Sind Bank,Public Sector Bank,Highest published slab,6.85,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab & Sind Bank,Public Sector Bank,1 Year,5.85,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab & Sind Bank,Public Sector Bank,3 Years,5.85,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab & Sind Bank,Public Sector Bank,5 Years,5.95,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab National Bank,Public Sector Bank,Highest published slab,6.6,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab National Bank,Public Sector Bank,1 Year,6.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab National Bank,Public Sector Bank,3 Years,6.35,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Punjab National Bank,Public Sector Bank,5 Years,6.1,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
State Bank of India,Public Sector Bank,Highest published slab,6.45,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
State Bank of India,Public Sector Bank,1 Year,6.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
State Bank of India,Public Sector Bank,3 Years,6.3,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
State Bank of India,Public Sector Bank,5 Years,6.05,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
UCO Bank,Public Sector Bank,Highest published slab,6.45,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
UCO Bank,Public Sector Bank,1 Year,6.1,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
UCO Bank,Public Sector Bank,3 Years,6.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
UCO Bank,Public Sector Bank,5 Years,6.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Union Bank of India,Public Sector Bank,Highest published slab,6.55,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Union Bank of India,Public Sector Bank,1 Year,6.2,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Union Bank of India,Public Sector Bank,3 Years,6.1,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Union Bank of India,Public Sector Bank,5 Years,6.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Axis Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Axis Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Axis Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Axis Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bandhan Bank,Private Sector Bank,Highest published slab,7.45,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bandhan Bank,Private Sector Bank,1 Year,7.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bandhan Bank,Private Sector Bank,3 Years,7.25,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bandhan Bank,Private Sector Bank,5 Years,5.85,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
CSB Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
CSB Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
CSB Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
CSB Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
City Union Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
City Union Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
City Union Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
City Union Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DCB Bank,Private Sector Bank,Highest published slab,7.5,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DCB Bank,Private Sector Bank,1 Year,6.9,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DCB Bank,Private Sector Bank,3 Years,7.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DCB Bank,Private Sector Bank,5 Years,7.5,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Dhanlaxmi Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Dhanlaxmi Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Dhanlaxmi Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Dhanlaxmi Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Federal Bank,Private Sector Bank,Highest published slab,6.7,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Federal Bank,Private Sector Bank,1 Year,6.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Federal Bank,Private Sector Bank,3 Years,6.5,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Federal Bank,Private Sector Bank,5 Years,6.4,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HDFC Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HDFC Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HDFC Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HDFC Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ICICI Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ICICI Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ICICI Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ICICI Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IndusInd Bank,Private Sector Bank,Highest published slab,7.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IndusInd Bank,Private Sector Bank,1 Year,6.75,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IndusInd Bank,Private Sector Bank,3 Years,7.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IndusInd Bank,Private Sector Bank,5 Years,6.65,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDFC FIRST Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDFC FIRST Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDFC FIRST Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDFC FIRST Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jammu & Kashmir Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jammu & Kashmir Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jammu & Kashmir Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jammu & Kashmir Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Karnataka Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Karnataka Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Karnataka Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Karnataka Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
